#1:i  2:j   3:lat       4:lon       5:rproj     6:vproj     
0     132   -88.20000   +237.60000  -9.999e-01  +5.170e-04  
0     133   -88.20000   +239.40000  -9.999e-01  +1.010e-03  
0     134   -88.20000   +241.20000  -9.999e-01  +1.477e-03  
0     135   -88.20000   +243.00000  -9.999e-01  +1.915e-03  
0     136   -88.20000   +244.80000  -9.999e-01  +2.326e-03  
0     137   -88.20000   +246.60000  -9.999e-01  +2.709e-03  
0     138   -88.20000   +248.40000  -1.000e+00  +3.062e-03  
0     139   -88.20000   +250.20000  -1.000e+00  +3.387e-03  
0     140   -88.20000   +252.00000  -1.000e+00  +3.682e-03  
0     141   -88.20000   +253.80000  -1.000e+00  +3.947e-03  
0     142   -88.20000   +255.60000  -1.000e+00  +4.183e-03  
0     143   -88.20000   +257.40000  -1.000e+00  +4.388e-03  
0     144   -88.20000   +259.20000  -1.000e+00  +4.563e-03  
0     145   -88.20000   +261.00000  -1.000e+00  +4.707e-03  
0     146   -88.20000   +262.80000  -1.000e+00  +4.821e-03  
0     147   -88.20000   +264.60000  -1.000e+00  +4.903e-03  
0     148   -88.20000   +266.40000  -1.000e+00  +4.955e-03  
0     149   -88.20000   +268.20000  -1.000e+00  +4.976e-03  
0     150   -88.20000   +270.00000  -1.000e+00  +4.966e-03  
0     151   -88.20000   +271.80000  -1.000e+00  +4.925e-03  
0     152   -88.20000   +273.60000  -1.000e+00  +4.853e-03  
0     153   -88.20000   +275.40000  -1.000e+00  +4.750e-03  
0     154   -88.20000   +277.20000  -1.000e+00  +4.616e-03  
0     155   -88.20000   +279.00000  -1.000e+00  +4.452e-03  
0     156   -88.20000   +280.80000  -1.000e+00  +4.257e-03  
0     157   -88.20000   +282.60000  -9.999e-01  +4.032e-03  
0     158   -88.20000   +284.40000  -9.999e-01  +3.777e-03  
0     159   -88.20000   +286.20000  -9.999e-01  +3.492e-03  
0     160   -88.20000   +288.00000  -9.999e-01  +3.177e-03  
0     161   -88.20000   +289.80000  -9.999e-01  +2.834e-03  
0     162   -88.20000   +291.60000  -9.999e-01  +2.461e-03  
0     163   -88.20000   +293.40000  -9.999e-01  +2.060e-03  
0     164   -88.20000   +295.20000  -9.999e-01  +1.631e-03  
0     165   -88.20000   +297.00000  -9.999e-01  +1.174e-03  
0     166   -88.20000   +298.80000  -9.998e-01  +6.900e-04  
0     167   -88.20000   +300.60000  -9.998e-01  +1.791e-04  
0     168   -88.20000   +302.40000  -9.998e-01  -3.580e-04  
0     169   -88.20000   +304.20000  -9.998e-01  -9.208e-04  
0     170   -88.20000   +306.00000  -9.998e-01  -1.509e-03  
0     171   -88.20000   +307.80000  -9.998e-01  -2.121e-03  
0     172   -88.20000   +309.60000  -9.997e-01  -2.758e-03  
0     173   -88.20000   +311.40000  -9.997e-01  -3.418e-03  
0     174   -88.20000   +313.20000  -9.997e-01  -4.100e-03  
0     175   -88.20000   +315.00000  -9.997e-01  -4.805e-03  
0     176   -88.20000   +316.80000  -9.997e-01  -5.531e-03  
0     177   -88.20000   +318.60000  -9.996e-01  -6.278e-03  
0     178   -88.20000   +320.40000  -9.996e-01  -7.044e-03  
0     179   -88.20000   +322.20000  -9.996e-01  -7.830e-03  
0     180   -88.20000   +324.00000  -9.996e-01  -8.634e-03  
0     181   -88.20000   +325.80000  -9.996e-01  -9.455e-03  
0     182   -88.20000   +327.60000  -9.995e-01  -1.029e-02  
0     183   -88.20000   +329.40000  -9.995e-01  -1.115e-02  
0     184   -88.20000   +331.20000  -9.995e-01  -1.202e-02  
0     185   -88.20000   +333.00000  -9.995e-01  -1.290e-02  
0     186   -88.20000   +334.80000  -9.994e-01  -1.380e-02  
0     187   -88.20000   +336.60000  -9.994e-01  -1.471e-02  
0     188   -88.20000   +338.40000  -9.994e-01  -1.563e-02  
0     189   -88.20000   +340.20000  -9.994e-01  -1.656e-02  
0     190   -88.20000   +342.00000  -9.993e-01  -1.750e-02  
0     191   -88.20000   +343.80000  -9.993e-01  -1.845e-02  
0     192   -88.20000   +345.60000  -9.993e-01  -1.941e-02  
0     193   -88.20000   +347.40000  -9.993e-01  -2.037e-02  
0     194   -88.20000   +349.20000  -9.992e-01  -2.134e-02  
0     195   -88.20000   +351.00000  -9.992e-01  -2.232e-02  
0     196   -88.20000   +352.80000  -9.992e-01  -2.330e-02  
0     197   -88.20000   +354.60000  -9.992e-01  -2.428e-02  
0     198   -88.20000   +356.40000  -9.991e-01  -2.527e-02  
0     199   -88.20000   +358.20000  -9.991e-01  -2.625e-02  
1     0     -86.40000   +0.00000    -9.975e-01  -2.802e-02  
1     1     -86.40000   +1.80000    -9.975e-01  -2.999e-02  
1     2     -86.40000   +3.60000    -9.974e-01  -3.195e-02  
1     3     -86.40000   +5.40000    -9.974e-01  -3.391e-02  
1     4     -86.40000   +7.20000    -9.973e-01  -3.587e-02  
1     5     -86.40000   +9.00000    -9.973e-01  -3.781e-02  
1     6     -86.40000   +10.80000   -9.972e-01  -3.974e-02  
1     7     -86.40000   +12.60000   -9.972e-01  -4.166e-02  
1     8     -86.40000   +14.40000   -9.971e-01  -4.357e-02  
1     9     -86.40000   +16.20000   -9.971e-01  -4.546e-02  
1     10    -86.40000   +18.00000   -9.970e-01  -4.733e-02  
1     11    -86.40000   +19.80000   -9.970e-01  -4.917e-02  
1     12    -86.40000   +21.60000   -9.969e-01  -5.100e-02  
1     13    -86.40000   +23.40000   -9.969e-01  -5.280e-02  
1     14    -86.40000   +25.20000   -9.968e-01  -5.458e-02  
1     15    -86.40000   +27.00000   -9.968e-01  -5.633e-02  
1     16    -86.40000   +28.80000   -9.967e-01  -5.804e-02  
1     17    -86.40000   +30.60000   -9.967e-01  -5.973e-02  
1     18    -86.40000   +32.40000   -9.967e-01  -6.138e-02  
1     19    -86.40000   +34.20000   -9.966e-01  -6.300e-02  
1     20    -86.40000   +36.00000   -9.966e-01  -6.459e-02  
1     21    -86.40000   +37.80000   -9.965e-01  -6.613e-02  
1     22    -86.40000   +39.60000   -9.965e-01  -6.764e-02  
1     23    -86.40000   +41.40000   -9.965e-01  -6.910e-02  
1     24    -86.40000   +43.20000   -9.964e-01  -7.053e-02  
1     25    -86.40000   +45.00000   -9.964e-01  -7.191e-02  
1     26    -86.40000   +46.80000   -9.964e-01  -7.324e-02  
1     27    -86.40000   +48.60000   -9.963e-01  -7.453e-02  
1     28    -86.40000   +50.40000   -9.963e-01  -7.577e-02  
1     29    -86.40000   +52.20000   -9.963e-01  -7.696e-02  
1     30    -86.40000   +54.00000   -9.962e-01  -7.811e-02  
1     31    -86.40000   +55.80000   -9.962e-01  -7.920e-02  
1     32    -86.40000   +57.60000   -9.962e-01  -8.024e-02  
1     33    -86.40000   +59.40000   -9.962e-01  -8.122e-02  
1     34    -86.40000   +61.20000   -9.962e-01  -8.216e-02  
1     35    -86.40000   +63.00000   -9.961e-01  -8.303e-02  
